parkCode,Park Name,City,State,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
fiis,Fire Island National Seashore,Patchogue,NY,40.69668638,-73.00013462,294.25,297.04,93,41,2.22,1663027272,US
frst,First State National Historical Park,New Castle,DE,39.83076929,-75.56353942,295.47,298.55,87,0,0.45,1663027272,US
flni,Flight 93 National Memorial,Stoystown,PA,40.06061476,-78.89456905,289.36,290.95,95,100,3.6,1663027273,US
flfo,Florissant Fossil Beds National Monument,Florissant,CO,38.91260586,-105.2803396,292.37,296.7,18,21,2.68,1663027273,US
fobo,Fort Bowie National Historic Site,Bowie,AZ,32.14925942,-109.451132,290.51,294.5,82,53,5.4,1663027274,US
foda,Fort Davis National Historic Site,Fort Davis,TX,30.59930381,-103.8961904,294.16,295.04,81,78,1.63,1663027274,US
fodo,Fort Donelson National Battlefield,Dover,TN,36.49019078,-87.92445695,292.58,296.15,71,0,0.45,1663027274,US
fofo,Fort Foote Park,Oxon Hill,MD,38.76901785,-77.02812387,293.97,296.9,90,75,2.06,1663027275,US
fofr,Fort Frederica National Monument,St. Simons Island,GA,31.2214699,-81.39452014,300.16,300.17,78,0,4.12,1663027275,US
fomc,Fort McHenry National Monument and Historic Shrine,Baltimore,MD,39.26395314,-76.58044165,294.55,298.18,91,75,2.06,1663027275,US
fomr,Fort Monroe National Monument,Fort Monroe,VA,37.01733343,-76.30103195,299.18,301.54,74,0,5.66,1663027275,US
fone,Fort Necessity National Battlefield,Farmington,PA,39.81306048,-79.59033344,290.06,291.96,75,72,2.2,1663027276,US
fopu,Fort Pulaski National Monument,Savannah,GA,32.0308274,-80.93361681,299.29,301.48,84,99,3.18,1663027276,US
fost,Fort Stanwix National Monument,Rome,NY,43.21053441,-75.45557626,293.63,295.27,93,75,0,1663027276,US
fous,Fort Union Trading Post National Historic Site,Williston,ND,48.00075828,-104.0375238,300.88,301.53,24,49,4.47,1663027277,US
fobu,Fossil Butte National Monument,Kemmerer,WY,41.85635223,-110.7624754,298,298.04,5,4,1.9,1663027277,US
frsp,Fredericksburg & Spotsylvania National Military Park,Fredericksburg,VA,38.29378,-77.46734,293.87,296.53,86,75,1.54,1663027277,US
frhi,Friendship Hill National Historic Site,Point Marion,PA,39.77543423,-79.92504169,292.3,293.29,51,58,1.72,1663027278,US
gaar,Gates Of The Arctic National Park & Preserve,Fairbanks,AK,67.75961636,-153.2917758,275.92,275.92,98,100,0.74,1663027278,US
gewa,George Washington Birthplace National Monument,Colonial Beach,VA,38.19362603,-76.92079458,295.14,297.35,93,80,0.86,1663027278,US
gett,Gettysburg National Military Park,Gettysburg,PA,39.81557366,-77.23246758,293.25,296.44,93,70,0.83,1663027279,US
gicl,Gila Cliff Dwellings National Monument,Mimbres,NM,33.22715258,-108.2706711,293.21,293.21,61,88,2.54,1663027279,US
glba,Glacier Bay National Park & Preserve,Gustavus,AK,58.80086718,-136.8407579,277.59,277.59,94,79,1.44,1663027279,US
glac,Glacier National Park,West Glacier,MT,48.68414678,-113.8009306,293.26,293.26,32,98,2.24,1663027280,US
glca,Glen Canyon National Recreation Area,Page,AZ,36.9357464677,-111.485594268,295.93,295.93,56,99,8.9,1663027280,US
goga,Golden Gate National Recreation Area,San Francisco,CA,37.85982543,-122.6007386,289.02,299.03,88,55,6.03,1663027281,US
gosp,Golden Spike National Historical Park,"Promontory, Utah",UT,41.61947508,-112.5242653,301.67,304.63,16,91,1.53,1663027281,US
grca,Grand Canyon National Park,Grand Canyon,AZ,36.0001165336,-112.121516363,294.25,294.77,46,100,3.09,1663027281,US
para,Grand Canyon-Parashant National Monument,St. George,UT,36.41535465,-113.6682797,289.58,289.58,74,56,3.02,1663027282,US
grpo,Grand Portage National Monument,Grand Portage,MN,47.99294217,-89.75573031,287.89,290.26,80,3,2.4,1663027282,CA
grte,Grand Teton National Park,Moose,WY,43.81853565,-110.7054666,295.99,297.75,17,42,2.81,1663027282,US
grko,Grant-Kohrs Ranch National Historic Site,Deer Lodge,MT,46.41358923,-112.7467024,297.48,297.95,16,81,6.29,1663027283,US
grba,Great Basin National Park,Baker,NV,38.94617378,-114.2579782,282.04,282.04,64,90,4.68,1663027283,US
greg,Great Egg Harbor River,Estell Manor,NJ,39.3042,-74.6497,297.04,298.16,85,20,3.09,1663027284,US
grfa,Great Falls Park,McLean,VA,38.98776107,-77.25128326,293.89,296.55,91,75,0.45,1663027284,US
grsa,Great Sand Dunes National Park & Preserve,Mosca,CO,37.79256812,-105.5919572,293.45,297.21,13,4,2.54,1663027284,US
grsm,Great Smoky Mountains National Park,Gatlinburg,TN,35.60116374,-83.50818326,284.89,289.77,64,53,1.42,1663027284,US
gree,Greenbelt Park,Greenbelt,MD,38.98328267,-76.89722133,293.92,297.08,94,100,3.6,1663027285,US
gumo,Guadalupe Mountains National Park,Salt Flat,TX,31.92304462,-104.885527,296.56,296.56,35,29,0.98,1663027285,US
guis,Gulf Islands National Seashore,Gulf Breeze,FL,30.29924926,-87.75064297,298.35,301.11,88,12,2.67,1663027285,US
hafo,Hagerman Fossil Beds National Monument,Hagerman,ID,42.79074114,-114.9443074,303.88,303.88,10,100,7.52,1663027286,US
hale,Haleakalā National Park,Kula,HI,20.70693015,-156.1591775,287.62,289.03,83,55,4.18,1663027286,US
hamp,Hampton National Historic Site,Towson,MD,39.4175296,-76.58781182,293.84,297.47,92,75,2.06,1663027286,US
hafe,Harpers Ferry National Historical Park,Harpers Ferry,WV,39.31865949,-77.74088546,293.05,295.49,95,52,1.69,1663027287,US
havo,Hawaiʻi Volcanoes National Park,Hawaii National Park,HI,19.3355036,-155.4700257,294.63,294.63,61,43,4.38,1663027287,US
heho,Herbert Hoover National Historic Site,West Branch,IA,41.66793558,-91.35232139,290.35,293.83,64,94,2.95,1663027287,US
home,Homestead National Historical Park,Beatrice,NE,40.28802381,-96.83387781,302.21,302.71,32,0,0,1663027288,US
hofu,Hopewell Furnace National Historic Site,Elverson,PA,40.20610637,-75.76766355,294.45,297.99,93,69,1.76,1663027288,US
hobe,Horseshoe Bend National Military Park,Daviston,AL,32.97668879,-85.73413589,294.12,298.55,71,91,2.47,1663027288,US
hosp,Hot Springs National Park,Hot Springs,AR,34.52414366,-93.06332936,295.21,299.67,26,0,1.54,1663027289,US
hove,Hovenweep National Monument,Cortez,CO,37.39134092,-109.0047977,299.75,302.92,23,100,4.52,1663027289,US
iatr,Ice Age National Scenic Trail,Cross Plains,WI,43.9895697794,-89.5612021706,287.64,288.35,95,100,4.25,1663027289,US
indu,Indiana Dunes National Park,Porter,IN,41.63765525,-87.09647445,286.3,288.16,95,98,1.76,1663027290,US
isro,Isle Royale National Park,Houghton,MI,48.01145819,-88.82780657,288.51,288.51,70,1,3.41,1663027290,US
jeca,Jewel Cave National Monument,Custer,SD,43.73102945,-103.829994,296.77,298.24,27,0,3.3,1663027290,US
joda,John Day Fossil Beds National Monument,Kimberly,OR,44.62566508,-119.8811491,295.56,296.59,28,97,1.11,1663027291,US
jomu,John Muir National Historic Site,Martinez,CA,37.9828422,-122.1326097,287.87,305.22,53,11,0.89,1663027291,US
jofl,Johnstown Flood National Memorial,South Fork,PA,40.34584534,-78.77448601,291.11,292.64,94,65,0.45,1663027291,US
jotr,Joshua Tree National Park,Twentynine Palms,CA,33.91418525,-115.8398125,300.49,301.95,31,62,2.79,1663027291,US
juba,Juan Bautista de Anza National Historic Trail,Richmond,CA,33.8743390994,-117.224179857,297.64,304.47,60,64,6.04,1663027292,US
kaho,Kaloko-Honokōhau National Historical Park,Kailua-Kona,HI,19.68083237,-156.0306932,302.17,303.35,68,75,2.24,1663027292,US
kaww,Katahdin Woods and Waters National Monument,Patten,ME,45.9567565918,-68.7122879028,293,293,84,54,0.92,1663027292,US
katm,Katmai National Park & Preserve,King Salmon,AK,58.62235668,-155.0126574,284.16,284.16,80,100,3.36,1663027293,US
kefj,Kenai Fjords National Park,Seward,AK,59.81804414,-150.106502,276.56,276.56,99,100,2.76,1663027293,US
keaq,Kenilworth Park & Aquatic Gardens,Washington,DC,38.9128,-76.9434,294.07,297.57,91,100,3.6,1663027293,US
kemo,Kennesaw Mountain National Battlefield Park,Kennesaw,GA,33.95370717,-84.59214186,293.46,297.8,77,0,2.06,1663027294,US
kewe,Keweenaw National Historical Park,Calumet,MI,47.1792308,-88.52275344,285.99,289.39,75,10,0.52,1663027294,US
klgo,Klondike Gold Rush National Historical Park,Skagway,AK,59.61042373,-135.2618535,275.64,275.64,76,0,8.23,1663027294,CA
knri,Knife River Indian Villages National Historic Site,Stanton,ND,47.3540219,-101.3860533,301.4,303.66,30,0,0,1663027295,US
kova,Kobuk Valley National Park,Kotzebue,AK,67.35631336,-159.2002293,279.93,279.93,97,100,1.58,1663027295,US
lyba,LBJ Memorial Grove on the Potomac,Washington,DC,38.87858036,-77.05145832,294.11,297.19,90,75,3.6,1663027295,US
lacl,Lake Clark National Park & Preserve,Port Alsworth,AK,60.57405857,-153.55535,276.12,276.12,96,100,2.04,1663027295,US
lake,Lake Mead National Recreation Area,Boulder City,NV,35.96622528,-114.3469067,302.29,302.29,50,32,7.69,1663027296,US
lamr,Lake Meredith National Recreation Area,Fritch,TX,35.61926203,-101.6820066,304.34,307.33,32,0,0.45,1663027296,US
laro,Lake Roosevelt National Recreation Area,Coulee Dam,WA,48.17148735,-118.3513713,295.46,295.46,21,99,2.82,1663027296,US
lavo,Lassen Volcanic National Park,Mineral,CA,40.49354575,-121.4075993,291.46,291.46,75,91,1.21,1663027296,US
labe,Lava Beds National Monument,Tulelake,CA,41.75915823,-121.5172189,298.17,298.17,36,85,2.95,1663027297,US
lecl,Lewis & Clark National Historic Trail,Omaha,NE,41.2646141052,-95.9245147705,297.21,300.28,44,0,2.06,1663027297,US
lewi,Lewis and Clark National Historical Park,Astoria,OR,46.21178735,-123.9638583,290.97,293.57,78,31,1.34,1663027297,US
libo,Lincoln Boyhood National Memorial,Lincoln City,IN,38.11817004,-86.99656861,290.11,296.06,63,100,3.09,1663027298,US
liri,Little River Canyon National Preserve,Fort Payne,AL,34.41461863,-85.61734327,289.53,293.47,64,2,0.45,1663027298,US
lode,Lower Delaware National Wild and Scenic River,Philadelphia,PA,40.4000389,-74.983737,295.6,298.98,88,75,2.06,1663027298,US
maca,Mammoth Cave National Park,Mammoth Cave,KY,37.19760458,-86.13090198,292.21,293.28,68,15,2.46,1663027299,US
mana,Manassas National Battlefield Park,Manassas,VA,38.81710063,-77.5353468,293.58,296.19,87,20,2.57,1663027299,US
mabi,Marsh - Billings - Rockefeller National Historical Park,Woodstock,VT,43.63348732,-72.53424638,292.8,294.27,89,63,0.56,1663027299,US
meve,Mesa Verde National Park,Mesa Verde National Park,CO,37.23908345,-108.4624032,299.33,299.33,20,0,3.09,1663027300,US
mima,Minute Man National Historical Park,Lincoln,MA,42.4562778,-71.30738884,293.3,297.35,81,67,1.95,1663027300,US
miss,Mississippi National River and Recreation Area,Saint Paul,MN,44.942487,-93.098712,292.88,296.24,48,0,2.06,1663027246,US
mnrr,Missouri National Recreational River,Yankton,SD,42.7882189,-97.59077822,296.98,300.13,34,0,2.95,1663027300,US
moja,Mojave National Preserve,Kelso,CA,35.12485941,-115.5168258,301.58,301.58,31,76,4.01,1663027300,US
mono,Monocacy National Battlefield,Frederick,MD,39.36084236,-77.39637677,293.7,296.46,98,0,0,1663027301,US
moca,Montezuma Castle National Monument,Camp Verde,AZ,34.62237771,-111.8147857,301.53,305.12,36,8,6.77,1663027301,US
mopi,Mormon Pioneer National Historic Trail,Santa Fe,NM,41.2650321741,-101.84083756,303.39,306.12,13,0,0,1663027301,US
morr,Morristown National Historical Park,Morristown,NJ,40.7650755,-74.53455122,294.75,297.48,89,40,1.54,1663027302,US
mora,Mount Rainier National Park,Ashford,WA,46.86075416,-121.7043885,280.73,282.94,64,27,2.32,1663027302,US
muwo,Muir Woods National Monument,Mill Valley,CA,37.89658027,-122.5808047,288.11,299.61,88,54,5.36,1663027302,US
natt,Natchez Trace National Scenic Trail,Tupelo,MS,34.330290333,-88.7100104094,295.49,296.66,53,0,2.57,1663027302,US
natr,Natchez Trace Parkway,Tupelo,MS,33.78002293,-89.03092439,294.13,295.81,52,0,1.32,1663027303,US
npsa,National Park of American Samoa,Pago Pago,AS,-14.22865935,-169.8503777,300.46,300.46,70,8,8.13,1663027303,AS
npnh,National Parks of New York Harbor,New York,NY,40.6632,-74.0451,295.38,298.38,84,75,3.09,1663027303,US
nabr,Natural Bridges National Monument,Lake Powell,UT,37.6045329,-110.0022436,298.3,298.3,29,100,3.17,1663027304,US
nava,Navajo National Monument,Shonto,AZ,36.71755643,-110.5504015,296.27,296.27,36,97,7.07,1663027304,US
neen,New England National Scenic Trail,Springfield,MA,42.2915819137,-72.5242767334,292.53,295.69,83,72,0.95,1663027304,US
neri,New River Gorge National Park and Preserve,Glen Jean,WV,37.86878554,-80.99956002,288.43,289.43,89,86,1.33,1663027305,US
nepe,Nez Perce National Historical Park,Lapwai,ID,46.07019093,-115.8761258,295.34,295.34,18,100,3.36,1663027305,US
niob,Niobrara National Scenic River,Valentine,NE,42.79413083,-99.91870646,300.84,301.64,32,0,2.6,1663027305,US
noat,Noatak National Preserve,Kotzebue,AK,68.01027053,-159.831694,278.19,278.19,95,100,1.18,1663027305,US
noca,North Cascades National Park,Sedro-Woolley,WA,48.71171756,-121.2069423,294.73,294.73,44,79,2.05,1663027306,US
noco,North Country National Scenic Trail,Lowell,MI,46.334400743,-90.8165630499,288.96,290.45,64,7,0.72,1663027306,US
obed,Obed Wild & Scenic River,Wartburg,TN,36.1056026037,-84.5979170501,288.53,291.53,70,0,2.17,1663027307,US
ocmu,Ocmulgee Mounds National Historical Park,Macon,GA,32.83816576,-83.60224853,297.54,299.25,72,81,2.81,1663027307,US
olsp,Old Spanish National Historic Trail,Santa Fe,NM,37.0791782514,-112.114693431,292.86,292.86,50,100,8.05,1663027307,US
olym,Olympic National Park,Port Angeles,WA,47.80392754,-123.6663848,280.38,283.39,55,3,2.03,1663027307,US
orca,Oregon Caves National Monument & Preserve,Cave Junction,OR,42.10319143,-123.4018586,297.04,299.28,24,6,3.11,1663027308,US
oreg,Oregon National Historic Trail,Santa Fe,NM,41.9876977831,-109.634200841,298.99,298.99,5,0,1.68,1663027308,US
orpi,Organ Pipe Cactus National Monument,Ajo,AZ,32.03585543,-112.8573314,306.54,306.54,29,71,5.49,1663027308,MX
ovvi,Overmountain Victory National Historic Trail,Gaffney,SC,35.14044,-81.377,296.02,300,73,81,0.45,1663027308,US
oxhi,Oxon Cove Park & Oxon Hill Farm,Oxon Hill,MD,38.80578214,-77.01131457,293.76,297.05,89,75,3.6,1663027309,US
ozar,Ozark National Scenic Riverways,Van Buren,MO,37.13968894,-91.25709817,292.64,295.35,55,1,1.72,1663027309,US
paal,Palo Alto Battlefield National Historical Park,Brownsville,TX,26.02387351,-97.46296072,302.06,303.79,72,3,2.68,1663027309,US
peri,Pea Ridge National Military Park,Garfield,AR,36.45438033,-94.03468357,294.18,298.36,47,0,0.45,1663027310,US
peco,Pecos National Historical Park,Pecos,NM,35.54192238,-105.6814684,297.99,299.69,25,96,0.89,1663027310,US
pete,Petersburg National Battlefield,Petersburg,VA,37.19109957,-77.47594865,295.9,299.18,74,75,0,1663027310,US
pefo,Petrified Forest National Park,Petrified Forest,AZ,34.98387664,-109.7877678,298.61,298.61,29,97,4.44,1663027310,US
petr,Petroglyph National Monument,Albuquerque,NM,35.13915998,-106.7491456,300.79,303.28,24,75,9.77,1663027311,US
piro,Pictured Rocks National Lakeshore,Munising,MI,46.56435642,-86.31628733,288.77,289.82,95,100,3.73,1663027311,US
pinn,Pinnacles National Park,Paicines,CA,36.49029208,-121.1813607,291.57,303.36,24,17,5.06,1663027311,US
pisp,Pipe Spring National Monument,Fredonia,AZ,36.86282666,-112.7398567,300.95,300.95,43,75,0.75,1663027312,US
pore,Point Reyes National Seashore,Point Reyes Station,CA,38.05511241,-122.8797804,288.61,302.9,86,73,3.58,1663027312,US
poex,Pony Express National Historic Trail,Santa Fe,NM,42.2365761128,-109.266148417,298.03,298.03,6,0,1.65,1663027312,US
pohe,Potomac Heritage National Scenic Trail,Williamsport,MD,39.15060133,-77.52301085,293.83,296.23,96,100,1.54,1663027312,US
popo,Poverty Point National Monument,Pioneer,LA,32.6424361,-91.40829834,296.13,298.19,63,1,1.63,1663027313,US
prsf,Presidio of San Francisco,San Francisco,CA,37.797,-122.4671,288.43,301.1,86,29,8.94,1663027313,US
prwi,Prince William Forest Park,Triangle,VA,38.58589108,-77.38910997,293.45,296.12,94,20,2.57,1663027313,US
puho,Puʻuhonua o Hōnaunau National Historical Park,Hōnaunau,HI,19.41268627,-155.9008789,301.77,302.95,74,84,2.77,1663027314,US
puhe,Puʻukoholā Heiau National Historic Site,Kawaihae,HI,20.02772186,-155.8211629,300.08,303.2,56,38,2.08,1663027314,US
rabr,Rainbow Bridge National Monument,Lake Powell,UT,36.9943264317,-111.491484759,296.56,296.56,53,100,10.12,1663027314,US
redw,Redwood National and State Parks,Crescent City,CA,41.37237268,-124.0318129,289.68,289.68,68,20,2.58,1663027314,US
rich,Richmond National Battlefield Park,Richmond,VA,37.48774472,-77.29107785,296.24,299.22,87,40,1.54,1663027315,US
rigr,Rio Grande Wild & Scenic River,Big Bend National Park,TX,29.52743158,-102.5979169,302,302,33,28,4.1,1663027315,US
rira,River Raisin National Battlefield Park,Monroe,MI,41.91291085,-83.37620464,288.83,290.98,72,40,1.54,1663027315,US
