park_code,park_name,city,state,lat,lng,min_temp,max_temp,humidity,cloudiness,wind_speed,date
dena,Denali National Park & Preserve,Denali Park,AK,63.29777484,-151.0526568,42.4,42.4,78,100,4.76,1663264426
depo,Devils Postpile National Monument,Mammoth Lakes,CA,37.6152564,-119.0873903,56.43,60.98,32,18,1.99,1663264426
deto,Devils Tower National Monument,Devils Tower,WY,44.59064655,-104.7156341,59.58,61.25,67,75,0,1663264426
dino,Dinosaur National Monument,Jensen,UT,40.50739742,-108.9333714,60.76,60.76,49,63,7.92,1663264427
ebla,Ebey's Landing National Historical Reserve,Coupeville,WA,48.21403036,-122.6877213,55.9,63.93,77,80,5.01,1663264427
efmo,Effigy Mounds National Monument,Harpers Ferry,IA,43.08095081,-91.19687517,77.85,78.13,53,0,5.75,1663264428
elca,El Camino Real de Tierra Adentro National Historic Trail,Santa Fe,NM,33.7990672546,-106.866386195,74.41,74.41,35,19,4.27,1663264428
elte,El Camino Real de los Tejas National Historic Trail,Santa Fe,NM,30.0922964581,-97.3397666725,83.12,88.97,62,14,8.3,1663264428
elma,El Malpais National Monument,Grants,NM,34.88422799,-107.9950948,69.3,69.3,35,0,8.5,1663264428
elmo,El Morro National Monument,Ramah,NM,35.03895916,-108.3463984,69.26,72,36,6,9.6,1663264429
elro,Eleanor Roosevelt National Historic Site,Hyde Park,NY,41.76208482,-73.89894026,65.95,72.45,46,1,3,1663264429
ever,Everglades National Park,Homestead,FL,25.37294225,-80.88200301,91.99,91.99,57,94,6.42,1663264429
fiis,Fire Island National Seashore,Patchogue,NY,40.69668638,-73.00013462,67.32,74.61,44,20,18.41,1663264430
frst,First State National Historical Park,New Castle,DE,39.83076929,-75.56353942,68.38,76.17,49,0,8.05,1663264430
flni,Flight 93 National Memorial,Stoystown,PA,40.06061476,-78.89456905,67.06,72.61,67,0,9.22,1663264430
flfo,Florissant Fossil Beds National Monument,Florissant,CO,38.91260586,-105.2803396,59.47,67.05,46,36,5.01,1663264430
fobo,Fort Bowie National Historic Site,Bowie,AZ,32.14925942,-109.451132,77.27,82.24,54,0,3.29,1663264431
