parkCode,Park Name,City,State,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
cuva,Cuyahoga Valley National Park,Peninsula,OH,41.26093905,-81.57116722,285.84,290.81,85,0,2.28,1663121499,US
deva,Death Valley National Park,Death Valley,CA,36.48753731,-117.134395,292.63,292.63,27,48,1.37,1663121500,US
dewa,Delaware Water Gap National Recreation Area,Bushkill,PA,41.12793491,-74.94751173,288.49,292.8,98,13,2.05,1663121500,US
dena,Denali National Park & Preserve,Denali Park,AK,63.29777484,-151.0526568,280.53,280.53,85,99,1.69,1663121500,US
depo,Devils Postpile National Monument,Mammoth Lakes,CA,37.6152564,-119.0873903,285.36,288.9,54,34,2.68,1663121501,US
deto,Devils Tower National Monument,Devils Tower,WY,44.59064655,-104.7156341,290.6,293.69,48,0,0,1663121501,US
dino,Dinosaur National Monument,Jensen,UT,40.50739742,-108.9333714,288.13,289.15,47,100,2.41,1663121501,US
ebla,Ebey's Landing National Historical Reserve,Coupeville,WA,48.21403036,-122.6877213,286.23,292.18,87,75,1.54,1663121501,US
efmo,Effigy Mounds National Monument,Harpers Ferry,IA,43.08095081,-91.19687517,286.83,290.75,88,0,0,1663121502,US
elca,El Camino Real de Tierra Adentro National Historic Trail,Santa Fe,NM,33.7990672546,-106.866386195,293.71,293.71,66,61,3.34,1663121502,US
elte,El Camino Real de los Tejas National Historic Trail,Santa Fe,NM,30.0922964581,-97.3397666725,299.47,303.25,67,25,2.95,1663121502,US
elma,El Malpais National Monument,Grants,NM,34.88422799,-107.9950948,288.87,288.87,65,100,2.25,1663121503,US
elmo,El Morro National Monument,Ramah,NM,35.03895916,-108.3463984,287.59,288.85,53,98,1.85,1663121503,US
elro,Eleanor Roosevelt National Historic Site,Hyde Park,NY,41.76208482,-73.89894026,289.99,293.98,86,40,2.57,1663121503,US
ever,Everglades National Park,Homestead,FL,25.37294225,-80.88200301,298.71,298.71,81,60,4.65,1663121503,US
fiis,Fire Island National Seashore,Patchogue,NY,40.69668638,-73.00013462,294.89,297.62,64,0,5.14,1663121504,US
frst,First State National Historical Park,New Castle,DE,39.83076929,-75.56353942,288.24,294.08,73,0,3.09,1663121504,US
flni,Flight 93 National Memorial,Stoystown,PA,40.06061476,-78.89456905,284.28,286.26,91,75,2.57,1663121504,US
flfo,Florissant Fossil Beds National Monument,Florissant,CO,38.91260586,-105.2803396,288.15,292.46,34,100,1.34,1663121505,US
fobo,Fort Bowie National Historic Site,Bowie,AZ,32.14925942,-109.451132,289.95,294.41,68,89,1.82,1663121505,US
foda,Fort Davis National Historic Site,Fort Davis,TX,30.59930381,-103.8961904,291.04,291.77,42,73,1.88,1663121505,US
fodo,Fort Donelson National Battlefield,Dover,TN,36.49019078,-87.92445695,289.17,293.15,91,0,0.45,1663121505,US
fofo,Fort Foote Park,Oxon Hill,MD,38.76901785,-77.02812387,290.25,296.07,61,75,7.2,1663121506,US
fofr,Fort Frederica National Monument,St. Simons Island,GA,31.2214699,-81.39452014,297.17,300.16,89,0,1.54,1663121506,US
fomc,Fort McHenry National Monument and Historic Shrine,Baltimore,MD,39.26395314,-76.58044165,290.11,296.16,64,40,4.12,1663121506,US
fomr,Fort Monroe National Monument,Fort Monroe,VA,37.01733343,-76.30103195,292.14,298.16,60,20,3.6,1663121507,US
fone,Fort Necessity National Battlefield,Farmington,PA,39.81306048,-79.59033344,284.26,288.21,94,12,1.67,1663121507,US
fopu,Fort Pulaski National Monument,Savannah,GA,32.0308274,-80.93361681,297.05,300.37,60,100,2.38,1663121507,US
fost,Fort Stanwix National Monument,Rome,NY,43.21053441,-75.45557626,287.36,289.16,95,22,1.79,1663121508,US
fous,Fort Union Trading Post National Historic Site,Williston,ND,48.00075828,-104.0375238,289.64,291.36,46,93,4.47,1663121508,US
fobu,Fossil Butte National Monument,Kemmerer,WY,41.85635223,-110.7624754,285.78,286.37,74,95,1.39,1663121508,US
frsp,Fredericksburg & Spotsylvania National Military Park,Fredericksburg,VA,38.29378,-77.46734,290.28,295.05,78,100,1.54,1663121508,US
frhi,Friendship Hill National Historic Site,Point Marion,PA,39.77543423,-79.92504169,285.28,287.89,90,14,1.47,1663121509,US
gaar,Gates Of The Arctic National Park & Preserve,Fairbanks,AK,67.75961636,-153.2917758,277.1,277.1,93,100,0.94,1663121509,US
gewa,George Washington Birthplace National Monument,Colonial Beach,VA,38.19362603,-76.92079458,290.35,294.15,91,6,5.15,1663121509,US
gett,Gettysburg National Military Park,Gettysburg,PA,39.81557366,-77.23246758,288.96,291.88,70,0,3.13,1663121509,US
gicl,Gila Cliff Dwellings National Monument,Mimbres,NM,33.22715258,-108.2706711,289.38,290.29,85,44,0.69,1663121510,US
glba,Glacier Bay National Park & Preserve,Gustavus,AK,58.80086718,-136.8407579,281.24,281.24,100,100,3.41,1663121510,US
glac,Glacier National Park,West Glacier,MT,48.68414678,-113.8009306,283.44,284.99,59,100,1.08,1663121510,US
glca,Glen Canyon National Recreation Area,Page,AZ,36.9357464677,-111.485594268,294,295.05,62,0,0.45,1663121511,US
goga,Golden Gate National Recreation Area,San Francisco,CA,37.85982543,-122.6007386,289.03,292.94,82,0,1.34,1663121511,US
gosp,Golden Spike National Historical Park,"Promontory, Utah",UT,41.61947508,-112.5242653,286.19,291.55,75,100,2.18,1663121511,US
grca,Grand Canyon National Park,Grand Canyon,AZ,36.0001165336,-112.121516363,284.77,290.2,94,0,1.54,1663121511,US
para,Grand Canyon-Parashant National Monument,St. George,UT,36.41535465,-113.6682797,290.18,290.18,58,64,3.39,1663121512,US
grpo,Grand Portage National Monument,Grand Portage,MN,47.99294217,-89.75573031,282.26,282.26,87,65,1.12,1663121512,CA
grte,Grand Teton National Park,Moose,WY,43.81853565,-110.7054666,287.75,288.62,56,100,1.61,1663121512,US
grko,Grant-Kohrs Ranch National Historic Site,Deer Lodge,MT,46.41358923,-112.7467024,286.37,288.4,95,100,1.6,1663121512,US
grba,Great Basin National Park,Baker,NV,38.94617378,-114.2579782,280.52,280.52,72,100,1.87,1663121513,US
greg,Great Egg Harbor River,Estell Manor,NJ,39.3042,-74.6497,290.95,297.04,72,0,3.09,1663121513,US
grfa,Great Falls Park,McLean,VA,38.98776107,-77.25128326,290.6,295.94,66,75,4.12,1663121513,US
grsa,Great Sand Dunes National Park & Preserve,Mosca,CO,37.79256812,-105.5919572,286.1,287.55,64,100,1.28,1663121514,US
grsm,Great Smoky Mountains National Park,Gatlinburg,TN,35.60116374,-83.50818326,283.74,286.82,61,0,0.36,1663121514,US
gree,Greenbelt Park,Greenbelt,MD,38.98328267,-76.89722133,290.34,296.29,67,75,7.2,1663121514,US
gumo,Guadalupe Mountains National Park,Salt Flat,TX,31.92304462,-104.885527,293.75,293.75,37,85,1.17,1663121514,US
guis,Gulf Islands National Seashore,Gulf Breeze,FL,30.29924926,-87.75064297,292.75,297.08,72,0,1.54,1663121515,US
